Dataset,SubDominio(Oficial),,,,,,,,,
1,SecurityPublic,SecurityPublic (100%),HealthCare (75%),"IndependentLiving (66,67%)","Logistic (62,5%)","SmartHome (61,9%)","Agriculture (55,56%)","IndustrialProcesses (53,85%)","UrbanMobility (41,67%)",
2,SecurityPublic,SecurityPublic (100%),HealthCare (75%),"IndependentLiving (66,67%)","SmartHome (57,14%)","Agriculture (55,56%)",Logistic (50%),"UrbanMobility (41,67%)","IndustrialProcesses (38,46%)",
3,SecurityPublic,SecurityPublic (100%),"IndependentLiving (66,67%)","Logistic (62,5%)","SmartHome (57,14%)","IndustrialProcesses (53,85%)",HealthCare (50%),"UrbanMobility (41,67%)","Agriculture (33,33%)",
4,SecurityPublic,SecurityPublic (100%),HealthCare (75%),"IndependentLiving (66,67%)","Logistic (62,5%)","Agriculture (55,56%)","IndustrialProcesses (53,85%)","SmartHome (52,38%)","UrbanMobility (41,67%)",
5,SecurityPublic,SecurityPublic (100%),"IndependentLiving (66,67%)","Logistic (62,5%)","SmartHome (61,9%)","IndustrialProcesses (53,85%)",HealthCare (50%),"UrbanMobility (41,67%)","Agriculture (33,33%)",
6,SecurityPublic,SecurityPublic (100%),HealthCare (75%),"IndependentLiving (66,67%)","Logistic (62,5%)","SmartHome (52,38%)","IndustrialProcesses (46,15%)","Agriculture (44,44%)","UrbanMobility (41,67%)",
7,UrbanMobility,"UrbanMobility (91,67%)","SecurityPublic (87,5%)","IndustrialProcesses (61,54%)","SmartHome (47,62%)","Logistic (37,5%)","IndependentLiving (33,33%)",HealthCare (25%),,
8,UrbanMobility,"UrbanMobility (83,33%)",SecurityPublic (75%),"IndustrialProcesses (61,54%)","SmartHome (42,86%)","Logistic (37,5%)","IndependentLiving (33,33%)",HealthCare (25%),,
9,UrbanMobility,"UrbanMobility (91,67%)","SecurityPublic (87,5%)","IndustrialProcesses (61,54%)","SmartHome (47,62%)","Logistic (37,5%)","IndependentLiving (33,33%)",HealthCare (25%),,
10,UrbanMobility,"UrbanMobility (83,33%)",SecurityPublic (75%),"IndustrialProcesses (61,54%)","SmartHome (42,86%)","Logistic (37,5%)","IndependentLiving (33,33%)",HealthCare (25%),,
